,data,tau_x_score,prediction_time,buckets_per_rank,algo
0,LR-AUTHORSHIP,0.8843137254901962,5.474834205343575,3.7411764705882353,ST-RF-PI
1,LR-AUTHORSHIP,0.9325396825396824,4.36641104214892,3.7261904761904763,ST-RF-PI
2,LR-AUTHORSHIP,0.9027777777777779,4.3255014412204265,3.869047619047619,ST-RF-PI
3,LR-AUTHORSHIP,0.9365079365079365,4.311675040978846,3.8333333333333335,ST-RF-PI
4,LR-AUTHORSHIP,0.9126984126984128,4.334993295957909,3.857142857142857,ST-RF-PI
5,LR-AUTHORSHIP,0.9325396825396827,4.327126736646385,3.8333333333333335,ST-RF-PI
6,LR-AUTHORSHIP,0.9107142857142859,4.47179828134052,3.8214285714285716,ST-RF-PI
7,LR-AUTHORSHIP,0.9265873015873015,4.6886780191222375,3.8452380952380953,ST-RF-PI
8,LR-AUTHORSHIP,0.9424603174603173,4.3761361907509215,3.880952380952381,ST-RF-PI
9,LR-AUTHORSHIP,0.9206349206349204,4.321212220662155,3.8214285714285716,ST-RF-PI
10,LR-AUTHORSHIP,0.9254901960784316,4.277556657602563,3.7411764705882353,ST-RF-PI
11,LR-AUTHORSHIP,0.9404761904761905,4.373694164319219,3.892857142857143,ST-RF-PI
12,LR-AUTHORSHIP,0.9107142857142856,4.3531751936948355,3.7738095238095237,ST-RF-PI
13,LR-AUTHORSHIP,0.9186507936507935,4.400344860121763,3.869047619047619,ST-RF-PI
14,LR-AUTHORSHIP,0.9186507936507937,4.323283903469677,3.8214285714285716,ST-RF-PI
15,LR-AUTHORSHIP,0.8908730158730158,4.29428590780819,3.6904761904761907,ST-RF-PI
16,LR-AUTHORSHIP,0.9087301587301587,3.0320959536268033,3.7261904761904763,ST-RF-PI
17,LR-AUTHORSHIP,0.9107142857142859,2.8715971158921234,3.8095238095238093,ST-RF-PI
18,LR-AUTHORSHIP,0.9424603174603173,2.8646700255003332,3.869047619047619,ST-RF-PI
19,LR-AUTHORSHIP,0.9365079365079367,2.8566593034521905,3.857142857142857,ST-RF-PI
20,LR-AUTHORSHIP,0.9509803921568627,2.8782621253110365,3.847058823529412,ST-RF-PI
21,LR-AUTHORSHIP,0.9087301587301588,2.857090648019425,3.8095238095238093,ST-RF-PI
22,LR-AUTHORSHIP,0.9206349206349207,2.8671620589007367,3.8333333333333335,ST-RF-PI
23,LR-AUTHORSHIP,0.9087301587301588,2.867539139924677,3.880952380952381,ST-RF-PI
24,LR-AUTHORSHIP,0.9007936507936507,2.874107823481929,3.7857142857142856,ST-RF-PI
25,LR-AUTHORSHIP,0.9444444444444444,2.8648729816520504,3.880952380952381,ST-RF-PI
26,LR-AUTHORSHIP,0.9424603174603176,2.866321936210224,3.7857142857142856,ST-RF-PI
27,LR-AUTHORSHIP,0.9206349206349207,2.8511595041315996,3.869047619047619,ST-RF-PI
28,LR-AUTHORSHIP,0.9384920634920635,2.8745239997258647,3.8452380952380953,ST-RF-PI
29,LR-AUTHORSHIP,0.8730158730158729,2.8710729029406417,3.7976190476190474,ST-RF-PI
30,LR-AUTHORSHIP,0.9,2.883370616136594,3.788235294117647,ST-RF-PI
31,LR-AUTHORSHIP,0.9523809523809526,1.3927596576581422,3.857142857142857,ST-RF-PI
