,data,tau_x_score,prediction_time,buckets_per_rank,algo
0,PLR-AUTHORSHIP,0.7980392156862745,1.2182644298344636,3.6,Native-RF-PI
1,PLR-AUTHORSHIP,0.765873015873016,1.145134194319595,3.642857142857143,Native-RF-PI
2,PLR-AUTHORSHIP,0.8095238095238093,1.162653158512887,3.6547619047619047,Native-RF-PI
3,PLR-AUTHORSHIP,0.7837301587301587,1.1541134528286336,3.761904761904762,Native-RF-PI
4,PLR-AUTHORSHIP,0.7718253968253967,1.1425618727228115,3.7976190476190474,Native-RF-PI
5,PLR-AUTHORSHIP,0.8333333333333335,1.1410557847888432,3.619047619047619,Native-RF-PI
6,PLR-AUTHORSHIP,0.8035714285714286,1.1219297335394836,3.738095238095238,Native-RF-PI
7,PLR-AUTHORSHIP,0.7976190476190478,1.1361997883295196,3.6666666666666665,Native-RF-PI
8,PLR-AUTHORSHIP,0.765873015873016,1.1249851505686623,3.7976190476190474,Native-RF-PI
9,PLR-AUTHORSHIP,0.8214285714285714,1.128857432982634,3.642857142857143,Native-RF-PI
10,PLR-AUTHORSHIP,0.7921568627450983,1.1231040245675865,3.7058823529411766,Native-RF-PI
11,PLR-AUTHORSHIP,0.8095238095238093,1.1458195988025157,3.7261904761904763,Native-RF-PI
12,PLR-AUTHORSHIP,0.8015873015873014,1.220114867953029,3.75,Native-RF-PI
13,PLR-AUTHORSHIP,0.7896825396825398,1.1330939877168429,3.630952380952381,Native-RF-PI
14,PLR-AUTHORSHIP,0.7857142857142857,1.1401366115513765,3.6785714285714284,Native-RF-PI
15,PLR-AUTHORSHIP,0.7738095238095238,1.141105605542284,3.6547619047619047,Native-RF-PI
16,PLR-AUTHORSHIP,0.7976190476190477,1.123338955524996,3.607142857142857,Native-RF-PI
17,PLR-AUTHORSHIP,0.8154761904761904,1.1236654092744924,3.6547619047619047,Native-RF-PI
18,PLR-AUTHORSHIP,0.8154761904761904,1.149274017369209,3.642857142857143,Native-RF-PI
19,PLR-AUTHORSHIP,0.7956349206349206,1.1357638068718365,3.619047619047619,Native-RF-PI
20,PLR-AUTHORSHIP,0.7921568627450981,1.1321217575861873,3.7176470588235295,Native-RF-PI
21,PLR-AUTHORSHIP,0.7658730158730158,1.1396395065984517,3.642857142857143,Native-RF-PI
22,PLR-AUTHORSHIP,0.8154761904761905,1.1278219451668878,3.7023809523809526,Native-RF-PI
23,PLR-AUTHORSHIP,0.7857142857142856,1.114758664465123,3.6547619047619047,Native-RF-PI
24,PLR-AUTHORSHIP,0.7916666666666669,1.1396808943735246,3.761904761904762,Native-RF-PI
25,PLR-AUTHORSHIP,0.8075396825396827,1.19387369725605,3.607142857142857,Native-RF-PI
26,PLR-AUTHORSHIP,0.7757936507936508,1.11573259027428,3.630952380952381,Native-RF-PI
27,PLR-AUTHORSHIP,0.8154761904761905,1.1450444602722067,3.630952380952381,Native-RF-PI
28,PLR-AUTHORSHIP,0.8214285714285714,1.141094533770133,3.7142857142857144,Native-RF-PI
29,PLR-AUTHORSHIP,0.7599206349206349,1.1403050534835384,3.7142857142857144,Native-RF-PI
30,PLR-AUTHORSHIP,0.7431372549019608,1.1316921065378354,3.6,Native-RF-PI
31,PLR-AUTHORSHIP,0.7896825396825398,1.1446424205838128,3.607142857142857,Native-RF-PI
32,PLR-AUTHORSHIP,0.7936507936507935,1.141963246781596,3.619047619047619,Native-RF-PI
33,PLR-AUTHORSHIP,0.8432539682539681,1.14836780388516,3.7261904761904763,Native-RF-PI
34,PLR-AUTHORSHIP,0.8035714285714286,1.1382530070243324,3.6666666666666665,Native-RF-PI
35,PLR-AUTHORSHIP,0.7876984126984126,1.141955117769458,3.642857142857143,Native-RF-PI
36,PLR-AUTHORSHIP,0.7916666666666665,1.1413448308903071,3.7857142857142856,Native-RF-PI
37,PLR-AUTHORSHIP,0.8373015873015872,1.2198731372565255,3.6904761904761907,Native-RF-PI
38,PLR-AUTHORSHIP,0.7797619047619045,1.1272680839090374,3.6785714285714284,Native-RF-PI
39,PLR-AUTHORSHIP,0.8174603174603177,1.1425582484057013,3.6904761904761907,Native-RF-PI
40,PLR-AUTHORSHIP,0.7862745098039216,1.13516758102058,3.7294117647058824,Native-RF-PI
41,PLR-AUTHORSHIP,0.7718253968253967,1.1388574546447967,3.738095238095238,Native-RF-PI
42,PLR-AUTHORSHIP,0.8055555555555552,1.147854406708431,3.7142857142857144,Native-RF-PI
43,PLR-AUTHORSHIP,0.8234126984126985,1.1221913932123817,3.7142857142857144,Native-RF-PI
44,PLR-AUTHORSHIP,0.7976190476190478,1.1279211510561953,3.7023809523809526,Native-RF-PI
45,PLR-AUTHORSHIP,0.8075396825396824,1.1287337905813326,3.6904761904761907,Native-RF-PI
