,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,LR-AUTHORSHIP,0.835294117647059,3.6297009356144807,4.0,JC-DT,0.3
1,LR-AUTHORSHIP,0.9047619047619048,1.619867522360849,4.0,JC-DT,0.3
2,LR-AUTHORSHIP,0.8888888888888887,1.6110767113951314,4.0,JC-DT,0.3
3,LR-AUTHORSHIP,0.884920634920635,1.651473414257772,4.0,JC-DT,0.3
4,LR-AUTHORSHIP,0.8650793650793651,1.6218294759313077,4.0,JC-DT,0.3
5,LR-AUTHORSHIP,0.8690476190476191,1.624337547124889,4.0,JC-DT,0.3
6,LR-AUTHORSHIP,0.8690476190476191,1.6215000021584758,4.0,JC-DT,0.3
7,LR-AUTHORSHIP,0.8452380952380955,1.6138976637322753,4.0,JC-DT,0.3
8,LR-AUTHORSHIP,0.8492063492063495,1.6710013447031906,4.0,JC-DT,0.3
9,LR-AUTHORSHIP,0.8452380952380952,1.6184587631446252,4.0,JC-DT,0.3
10,LR-AUTHORSHIP,0.8431372549019607,1.6270575834923975,4.0,JC-DT,0.3
11,LR-AUTHORSHIP,0.8730158730158729,1.618262009997164,4.0,JC-DT,0.3
12,LR-AUTHORSHIP,0.8492063492063492,1.6395603142305184,4.0,JC-DT,0.3
13,LR-AUTHORSHIP,0.8730158730158731,1.633563787245511,4.0,JC-DT,0.3
14,LR-AUTHORSHIP,0.8571428571428573,1.681938505713168,4.0,JC-DT,0.3
15,LR-AUTHORSHIP,0.8174603174603176,1.6264531038427699,4.0,JC-DT,0.3
16,LR-AUTHORSHIP,0.8253968253968254,1.633954488962306,4.0,JC-DT,0.3
17,LR-AUTHORSHIP,0.8492063492063492,1.6132929290740172,4.0,JC-DT,0.3
18,LR-AUTHORSHIP,0.9047619047619049,1.6794072507882722,4.0,JC-DT,0.3
19,LR-AUTHORSHIP,0.8690476190476192,1.6327934146731484,4.0,JC-DT,0.3
20,LR-AUTHORSHIP,0.8901960784313724,1.6695494179567798,4.0,JC-DT,0.3
21,LR-AUTHORSHIP,0.8333333333333334,1.6052674618269698,4.0,JC-DT,0.3
22,LR-AUTHORSHIP,0.8531746031746033,0.2944933683471557,4.0,JC-DT,0.3
23,LR-AUTHORSHIP,0.8174603174603177,0.29591377122438245,4.0,JC-DT,0.3
24,LR-AUTHORSHIP,0.853174603174603,0.2991700820606767,4.0,JC-DT,0.3
25,LR-AUTHORSHIP,0.9007936507936508,0.2957425180793725,4.0,JC-DT,0.3
26,LR-AUTHORSHIP,0.9047619047619048,0.3353489421475788,4.0,JC-DT,0.3
27,LR-AUTHORSHIP,0.8690476190476192,0.3394392434580045,4.0,JC-DT,0.3
28,LR-AUTHORSHIP,0.8452380952380952,0.3058159675357122,4.0,JC-DT,0.3
29,LR-AUTHORSHIP,0.8174603174603176,0.33325739601760296,4.0,JC-DT,0.3
30,LR-AUTHORSHIP,0.8666666666666667,0.31304568835921454,4.0,JC-DT,0.3
31,LR-AUTHORSHIP,0.9246031746031746,0.3393796355119841,4.0,JC-DT,0.3
32,LR-AUTHORSHIP,0.8650793650793651,0.3207981234357298,4.0,JC-DT,0.3
33,LR-AUTHORSHIP,0.8650793650793651,0.3001516733256682,4.0,JC-DT,0.3
34,LR-AUTHORSHIP,0.8492063492063492,0.3246409647599093,4.0,JC-DT,0.3
35,LR-AUTHORSHIP,0.8690476190476191,0.33213911844379274,4.0,JC-DT,0.3
36,LR-AUTHORSHIP,0.8492063492063492,0.3367414824452451,4.0,JC-DT,0.3
37,LR-AUTHORSHIP,0.9047619047619048,0.33964661782545214,4.0,JC-DT,0.3
38,LR-AUTHORSHIP,0.8492063492063493,0.3302697579247433,4.0,JC-DT,0.3
39,LR-AUTHORSHIP,0.8531746031746033,0.33396817063979306,4.0,JC-DT,0.3
40,LR-AUTHORSHIP,0.8627450980392156,0.3208220721836072,4.0,JC-DT,0.3
41,LR-AUTHORSHIP,0.865079365079365,0.3397816166301426,4.0,JC-DT,0.3
42,LR-AUTHORSHIP,0.8095238095238096,0.3115096579566092,4.0,JC-DT,0.3
43,LR-AUTHORSHIP,0.8928571428571429,0.3343518520958546,4.0,JC-DT,0.3
44,LR-AUTHORSHIP,0.8492063492063493,0.3486628070215417,4.0,JC-DT,0.3
45,LR-AUTHORSHIP,0.861111111111111,0.3437485883607838,4.0,JC-DT,0.3
46,LR-AUTHORSHIP,0.8769841269841272,0.3211000358143099,4.0,JC-DT,0.3
47,LR-AUTHORSHIP,0.8055555555555556,0.35059224178503634,4.0,JC-DT,0.3
48,LR-AUTHORSHIP,0.8492063492063493,0.34798864636742793,4.0,JC-DT,0.3
49,LR-AUTHORSHIP,0.861111111111111,0.33237704343078894,4.0,JC-DT,0.3
50,LR-GLASS,0.8848484848484849,0.38798233207255817,6.0,JC-DT,0.3
51,LR-GLASS,0.8424242424242426,0.3798008649278808,6.0,JC-DT,0.3
52,LR-GLASS,0.8303030303030304,0.37024471366936035,6.0,JC-DT,0.3
53,LR-GLASS,0.8121212121212121,0.3624459352777494,6.0,JC-DT,0.3
54,LR-GLASS,0.8666666666666668,0.3684148951927462,6.0,JC-DT,0.3
55,LR-GLASS,0.8730158730158731,0.38354386711249694,6.0,JC-DT,0.3
56,LR-GLASS,0.7523809523809524,0.38610936274588614,6.0,JC-DT,0.3
57,LR-GLASS,0.8920634920634921,0.3634471846077515,6.0,JC-DT,0.3
58,LR-GLASS,0.8095238095238095,0.3742404053547402,6.0,JC-DT,0.3
59,LR-GLASS,0.7777777777777777,0.3642109965385738,6.0,JC-DT,0.3
60,LR-GLASS,0.7454545454545454,0.40253690638323275,6.0,JC-DT,0.3
61,LR-GLASS,0.8424242424242423,0.35767423446436886,6.0,JC-DT,0.3
62,LR-GLASS,0.8727272727272727,0.3681442570518236,6.0,JC-DT,0.3
63,LR-GLASS,0.9030303030303031,0.3826466516251643,6.0,JC-DT,0.3
64,LR-GLASS,0.8793650793650795,0.36699772206367604,6.0,JC-DT,0.3
65,LR-GLASS,0.8730158730158731,0.363573193455657,6.0,JC-DT,0.3
66,LR-GLASS,0.8222222222222222,0.3727731991438057,6.0,JC-DT,0.3
67,LR-GLASS,0.8539682539682542,0.3452454691952339,6.0,JC-DT,0.3
68,LR-GLASS,0.8476190476190476,0.3732890408248724,6.0,JC-DT,0.3
69,LR-GLASS,0.8349206349206348,0.3733323345225859,6.0,JC-DT,0.3
70,LR-GLASS,0.8,0.37346735466452374,6.0,JC-DT,0.3
71,LR-GLASS,0.8060606060606061,0.36319215024565377,6.0,JC-DT,0.3
72,LR-GLASS,0.8666666666666668,0.37504895680434247,6.0,JC-DT,0.3
73,LR-GLASS,0.9454545454545457,0.3415690559756658,6.0,JC-DT,0.3
74,LR-GLASS,0.7968253968253969,0.341447460088303,6.0,JC-DT,0.3
75,LR-GLASS,0.8285714285714285,0.3318304521893894,6.0,JC-DT,0.3
76,LR-GLASS,0.9365079365079365,0.35642209807980213,6.0,JC-DT,0.3
77,LR-GLASS,0.7587301587301587,0.34534195806477724,6.0,JC-DT,0.3
78,LR-GLASS,0.9111111111111112,0.3369965608133934,6.0,JC-DT,0.3
79,LR-GLASS,0.8666666666666666,0.3515152443351469,6.0,JC-DT,0.3
80,LR-GLASS,0.8303030303030302,0.38750721025524615,6.0,JC-DT,0.3
81,LR-GLASS,0.8848484848484849,0.3645223230470044,6.0,JC-DT,0.3
82,LR-GLASS,0.8303030303030304,0.333883990330953,6.0,JC-DT,0.3
83,LR-GLASS,0.8606060606060606,0.33184131147272866,6.0,JC-DT,0.3
84,LR-GLASS,0.9174603174603175,0.3286004899566478,6.0,JC-DT,0.3
85,LR-GLASS,0.8730158730158729,0.340167272087862,6.0,JC-DT,0.3
86,LR-GLASS,0.8666666666666668,0.33609379494434066,6.0,JC-DT,0.3
87,LR-GLASS,0.8857142857142858,0.34845815100250066,6.0,JC-DT,0.3
88,LR-GLASS,0.8920634920634921,0.3241036578009081,6.0,JC-DT,0.3
89,LR-GLASS,0.7396825396825396,0.33618250400658556,6.0,JC-DT,0.3
90,LR-GLASS,0.8848484848484849,0.3677716832491463,6.0,JC-DT,0.3
91,LR-GLASS,0.8727272727272727,0.35910164438419745,6.0,JC-DT,0.3
92,LR-GLASS,0.9151515151515152,0.36448036023875324,6.0,JC-DT,0.3
93,LR-GLASS,0.909090909090909,0.3751555464073592,6.0,JC-DT,0.3
94,LR-GLASS,0.7968253968253969,0.3686041209749977,6.0,JC-DT,0.3
95,LR-GLASS,0.8920634920634921,0.36766691855511907,6.0,JC-DT,0.3
96,LR-GLASS,0.8603174603174603,0.3421909160109484,6.0,JC-DT,0.3
97,LR-GLASS,0.9428571428571428,0.3740533464630003,6.0,JC-DT,0.3
98,LR-GLASS,0.8539682539682542,0.35326329132781975,6.0,JC-DT,0.3
99,LR-GLASS,0.9111111111111112,0.3818974941000843,6.0,JC-DT,0.3
100,LR-IRIS,0.8666666666666667,0.21440079057561273,3.0,JC-DT,0.3
101,LR-IRIS,0.9555555555555556,0.2130008849737202,3.0,JC-DT,0.3
102,LR-IRIS,0.9111111111111111,0.20414124522041555,3.0,JC-DT,0.3
103,LR-IRIS,0.7777777777777778,0.2041296597756957,3.0,JC-DT,0.3
104,LR-IRIS,0.9111111111111111,0.2144004407647628,3.0,JC-DT,0.3
105,LR-IRIS,1.0,0.20579729590016688,3.0,JC-DT,0.3
106,LR-IRIS,0.9555555555555556,0.20629389230098708,3.0,JC-DT,0.3
107,LR-IRIS,0.8222222222222224,0.21245014709354215,3.0,JC-DT,0.3
108,LR-IRIS,1.0,0.21042086873613405,3.0,JC-DT,0.3
109,LR-IRIS,0.9555555555555556,0.212235470643465,3.0,JC-DT,0.3
110,LR-IRIS,0.9111111111111111,0.2057390604635672,3.0,JC-DT,0.3
111,LR-IRIS,1.0,0.18765808802030354,3.0,JC-DT,0.3
112,LR-IRIS,0.8666666666666667,0.20637822075040568,3.0,JC-DT,0.3
113,LR-IRIS,0.9555555555555556,0.20598250653878142,3.0,JC-DT,0.3
114,LR-IRIS,0.8222222222222223,0.2056896059612968,3.0,JC-DT,0.3
115,LR-IRIS,0.9111111111111112,0.2060464850464116,3.0,JC-DT,0.3
116,LR-IRIS,0.9555555555555555,0.20510863706861956,3.0,JC-DT,0.3
117,LR-IRIS,0.9555555555555555,0.20822451344709383,3.0,JC-DT,0.3
118,LR-IRIS,0.8666666666666667,0.21221320175728198,3.0,JC-DT,0.3
119,LR-IRIS,0.9555555555555555,0.20524256381088882,3.0,JC-DT,0.3
120,LR-IRIS,0.9111111111111111,0.2059459613588954,3.0,JC-DT,0.3
121,LR-IRIS,0.9111111111111112,0.2098906810695348,3.0,JC-DT,0.3
122,LR-IRIS,0.9555555555555556,0.21084362451788444,3.0,JC-DT,0.3
123,LR-IRIS,0.9555555555555556,0.20585052343768678,3.0,JC-DT,0.3
124,LR-IRIS,0.9555555555555556,0.2057620300240246,3.0,JC-DT,0.3
125,LR-IRIS,1.0,0.20834417198408736,3.0,JC-DT,0.3
126,LR-IRIS,0.9111111111111112,0.2074309668291323,3.0,JC-DT,0.3
127,LR-IRIS,0.8666666666666667,0.2059289246320764,3.0,JC-DT,0.3
128,LR-IRIS,0.9555555555555555,0.1899220971870827,3.0,JC-DT,0.3
129,LR-IRIS,0.9111111111111112,0.20564978969112507,3.0,JC-DT,0.3
130,LR-IRIS,0.9555555555555555,0.2139389445616774,3.0,JC-DT,0.3
131,LR-IRIS,0.9555555555555555,0.20639497571337168,3.0,JC-DT,0.3
132,LR-IRIS,0.9111111111111112,0.2105797402419694,3.0,JC-DT,0.3
