,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,LR-AUTHORSHIP,0.8137254901960783,3.9813983711751937,3.2470588235294118,JC-RF,0.2
1,LR-AUTHORSHIP,0.8650793650793651,2.08817162944483,3.392857142857143,JC-RF,0.2
2,LR-AUTHORSHIP,0.8908730158730158,2.0869303498240037,3.5952380952380953,JC-RF,0.2
3,LR-AUTHORSHIP,0.8849206349206349,2.067382568126573,3.4523809523809526,JC-RF,0.2
4,LR-AUTHORSHIP,0.8908730158730156,2.076838265005287,3.511904761904762,JC-RF,0.2
5,LR-AUTHORSHIP,0.8769841269841269,2.0947875152402924,3.488095238095238,JC-RF,0.2
6,LR-AUTHORSHIP,0.8630952380952379,2.1033574864942035,3.380952380952381,JC-RF,0.2
7,LR-AUTHORSHIP,0.8769841269841269,2.0862246643136637,3.5,JC-RF,0.2
8,LR-AUTHORSHIP,0.9107142857142857,2.0904148066857995,3.5952380952380953,JC-RF,0.2
9,LR-AUTHORSHIP,0.8690476190476188,2.0777262914077297,3.4642857142857144,JC-RF,0.2
10,LR-AUTHORSHIP,0.8941176470588234,2.097459633699192,3.4823529411764707,JC-RF,0.2
11,LR-AUTHORSHIP,0.8988095238095238,2.081033796701369,3.5714285714285716,JC-RF,0.2
12,LR-AUTHORSHIP,0.851190476190476,2.0682575161181673,3.3095238095238093,JC-RF,0.2
13,LR-AUTHORSHIP,0.8690476190476188,2.0916428724806306,3.5357142857142856,JC-RF,0.2
14,LR-AUTHORSHIP,0.853174603174603,2.086910840932009,3.380952380952381,JC-RF,0.2
15,LR-AUTHORSHIP,0.851190476190476,2.08887660956866,3.4166666666666665,JC-RF,0.2
16,LR-AUTHORSHIP,0.8492063492063492,2.0839827388951515,3.3214285714285716,JC-RF,0.2
17,LR-AUTHORSHIP,0.8809523809523808,2.072858664024351,3.488095238095238,JC-RF,0.2
18,LR-AUTHORSHIP,0.8948412698412698,2.0570800249441703,3.4642857142857144,JC-RF,0.2
19,LR-AUTHORSHIP,0.8849206349206349,2.081493424927862,3.5238095238095237,JC-RF,0.2
20,LR-AUTHORSHIP,0.9137254901960785,2.097144987591858,3.635294117647059,JC-RF,0.2
21,LR-AUTHORSHIP,0.847222222222222,2.081745026651452,3.4285714285714284,JC-RF,0.2
22,LR-AUTHORSHIP,0.8472222222222223,1.3177272452939668,3.5,JC-RF,0.2
23,LR-AUTHORSHIP,0.849206349206349,1.268758346578133,3.380952380952381,JC-RF,0.2
24,LR-AUTHORSHIP,0.8630952380952381,1.3112481946560126,3.4404761904761907,JC-RF,0.2
25,LR-AUTHORSHIP,0.9087301587301587,1.2720876196282134,3.5238095238095237,JC-RF,0.2
26,LR-AUTHORSHIP,0.9027777777777777,1.2532195545970368,3.5357142857142856,JC-RF,0.2
