,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,LR-AUTHORSHIP,0.9352941176470589,3.653666486284818,3.788235294117647,JC-SVM,0.2
1,LR-AUTHORSHIP,0.9623015873015874,1.6720367328536654,3.8452380952380953,JC-SVM,0.2
2,LR-AUTHORSHIP,0.9384920634920636,1.661560090998288,3.9166666666666665,JC-SVM,0.2
3,LR-AUTHORSHIP,0.9107142857142857,1.663922285140614,3.892857142857143,JC-SVM,0.2
4,LR-AUTHORSHIP,0.9424603174603176,1.733123996426493,3.8452380952380953,JC-SVM,0.2
5,LR-AUTHORSHIP,0.9563492063492063,1.645012351024223,3.880952380952381,JC-SVM,0.2
6,LR-AUTHORSHIP,0.9126984126984126,1.7327920013640812,3.7976190476190474,JC-SVM,0.2
7,LR-AUTHORSHIP,0.9523809523809523,1.673760215501169,3.857142857142857,JC-SVM,0.2
8,LR-AUTHORSHIP,0.9583333333333334,1.6537435318094784,3.8452380952380953,JC-SVM,0.2
9,LR-AUTHORSHIP,0.9107142857142856,1.6751809645515523,3.738095238095238,JC-SVM,0.2
10,LR-AUTHORSHIP,0.9431372549019605,1.6604983899423125,3.835294117647059,JC-SVM,0.2
11,LR-AUTHORSHIP,0.9404761904761905,1.735056598505259,3.8333333333333335,JC-SVM,0.2
12,LR-AUTHORSHIP,0.9404761904761904,1.6627911880334167,3.880952380952381,JC-SVM,0.2
13,LR-AUTHORSHIP,0.9265873015873015,1.664456020140978,3.8214285714285716,JC-SVM,0.2
14,LR-AUTHORSHIP,0.9305555555555556,1.6657710385936977,3.8095238095238093,JC-SVM,0.2
15,LR-AUTHORSHIP,0.9345238095238093,1.6768516398312094,3.869047619047619,JC-SVM,0.2
16,LR-AUTHORSHIP,0.9384920634920636,1.6576046862909128,3.7976190476190474,JC-SVM,0.2
17,LR-AUTHORSHIP,0.9265873015873015,1.6958912182034205,3.8095238095238093,JC-SVM,0.2
18,LR-AUTHORSHIP,0.9503968253968251,1.7189890031642316,3.869047619047619,JC-SVM,0.2
19,LR-AUTHORSHIP,0.9424603174603176,1.6631235086429466,3.869047619047619,JC-SVM,0.2
20,LR-AUTHORSHIP,0.9509803921568627,1.6574710836148805,3.9176470588235293,JC-SVM,0.2
21,LR-AUTHORSHIP,0.9126984126984126,1.681957101707798,3.75,JC-SVM,0.2
22,LR-AUTHORSHIP,0.9206349206349206,0.6473789554705441,3.8452380952380953,JC-SVM,0.2
23,LR-AUTHORSHIP,0.9265873015873014,0.5785905676872319,3.8333333333333335,JC-SVM,0.2
24,LR-AUTHORSHIP,0.9424603174603173,0.6390650115721215,3.8214285714285716,JC-SVM,0.2
25,LR-AUTHORSHIP,0.9563492063492063,0.6081111189674453,3.857142857142857,JC-SVM,0.2
26,LR-AUTHORSHIP,0.9523809523809523,0.5998777800468561,3.8214285714285716,JC-SVM,0.2
27,LR-AUTHORSHIP,0.9305555555555556,0.7692118875676508,3.8452380952380953,JC-SVM,0.2
28,LR-AUTHORSHIP,0.9563492063492063,0.5956442109322427,3.761904761904762,JC-SVM,0.2
29,LR-AUTHORSHIP,0.9186507936507937,0.6025673721574415,3.75,JC-SVM,0.2
30,LR-AUTHORSHIP,0.9333333333333332,0.6387361810730768,3.847058823529412,JC-SVM,0.2
31,LR-AUTHORSHIP,0.9384920634920635,0.6470996414702065,3.8095238095238093,JC-SVM,0.2
32,LR-AUTHORSHIP,0.9365079365079365,0.6301655195216267,3.7857142857142856,JC-SVM,0.2
33,LR-AUTHORSHIP,0.9206349206349207,0.7535676605440234,3.8095238095238093,JC-SVM,0.2
34,LR-AUTHORSHIP,0.9305555555555556,0.5896643986062735,3.7738095238095237,JC-SVM,0.2
35,LR-AUTHORSHIP,0.9543650793650794,0.6042388393683155,3.869047619047619,JC-SVM,0.2
36,LR-AUTHORSHIP,0.9543650793650793,0.6656696155003895,3.8452380952380953,JC-SVM,0.2
37,LR-AUTHORSHIP,0.9444444444444444,0.5956209306313501,3.880952380952381,JC-SVM,0.2
38,LR-AUTHORSHIP,0.9226190476190477,0.5895840432005747,3.869047619047619,JC-SVM,0.2
39,LR-AUTHORSHIP,0.9503968253968254,0.6650783570359475,3.7738095238095237,JC-SVM,0.2
40,LR-AUTHORSHIP,0.9254901960784314,0.582676290932605,3.8117647058823527,JC-SVM,0.2
41,LR-AUTHORSHIP,0.9305555555555555,0.5931515194442346,3.75,JC-SVM,0.2
42,LR-AUTHORSHIP,0.9226190476190477,0.5924932092527118,3.7857142857142856,JC-SVM,0.2
43,LR-AUTHORSHIP,0.9305555555555556,0.6845642745483651,3.892857142857143,JC-SVM,0.2
44,LR-AUTHORSHIP,0.9583333333333334,0.6126019498806718,3.8452380952380953,JC-SVM,0.2
45,LR-AUTHORSHIP,0.9424603174603176,0.7730962605112368,3.869047619047619,JC-SVM,0.2
46,LR-AUTHORSHIP,0.9484126984126985,0.7073068195772815,3.880952380952381,JC-SVM,0.2
47,LR-AUTHORSHIP,0.9265873015873017,0.7783442014805696,3.7976190476190474,JC-SVM,0.2
48,LR-AUTHORSHIP,0.9365079365079365,0.6722308703017394,3.7976190476190474,JC-SVM,0.2
49,LR-AUTHORSHIP,0.9484126984126985,0.6456947986425948,3.857142857142857,JC-SVM,0.2
50,LR-GLASS,0.890909090909091,0.41100033211419335,5.454545454545454,JC-SVM,0.2
51,LR-GLASS,0.7818181818181817,0.4015716934647629,5.090909090909091,JC-SVM,0.2
52,LR-GLASS,0.8424242424242425,0.4244629300478517,5.5,JC-SVM,0.2
53,LR-GLASS,0.8484848484848484,0.4148855034668455,5.2272727272727275,JC-SVM,0.2
54,LR-GLASS,0.8095238095238095,0.39900611898150035,5.095238095238095,JC-SVM,0.2
55,LR-GLASS,0.9079365079365079,0.40346684745995776,5.857142857142857,JC-SVM,0.2
56,LR-GLASS,0.7047619047619047,0.409489549322035,4.904761904761905,JC-SVM,0.2
57,LR-GLASS,0.8507936507936507,0.42566904632126473,5.190476190476191,JC-SVM,0.2
58,LR-GLASS,0.8031746031746032,0.39747183797097935,5.0476190476190474,JC-SVM,0.2
59,LR-GLASS,0.7936507936507937,0.4124473833152506,4.666666666666667,JC-SVM,0.2
60,LR-GLASS,0.7363636363636363,0.42703759903160293,4.954545454545454,JC-SVM,0.2
61,LR-GLASS,0.8787878787878788,0.4163329304861879,5.363636363636363,JC-SVM,0.2
62,LR-GLASS,0.890909090909091,0.41354656327575845,5.636363636363637,JC-SVM,0.2
63,LR-GLASS,0.890909090909091,0.40269612985681436,5.5,JC-SVM,0.2
64,LR-GLASS,0.8857142857142858,0.4089211256416569,5.619047619047619,JC-SVM,0.2
65,LR-GLASS,0.8507936507936508,0.42720590235495765,5.142857142857143,JC-SVM,0.2
66,LR-GLASS,0.7365079365079366,0.41953617245733915,4.809523809523809,JC-SVM,0.2
67,LR-GLASS,0.8126984126984127,0.4079948529162142,5.333333333333333,JC-SVM,0.2
68,LR-GLASS,0.7428571428571429,0.4216067848306917,4.761904761904762,JC-SVM,0.2
69,LR-GLASS,0.8031746031746032,0.4182512940864071,5.428571428571429,JC-SVM,0.2
70,LR-GLASS,0.7909090909090909,0.44566642682394747,5.090909090909091,JC-SVM,0.2
71,LR-GLASS,0.8090909090909091,0.4163556676451657,5.045454545454546,JC-SVM,0.2
72,LR-GLASS,0.8090909090909091,0.40141643836316204,5.409090909090909,JC-SVM,0.2
73,LR-GLASS,0.9272727272727274,0.3784449880706068,5.7272727272727275,JC-SVM,0.2
74,LR-GLASS,0.7936507936507935,0.3832167011193757,5.190476190476191,JC-SVM,0.2
75,LR-GLASS,0.8349206349206348,0.37398459862206695,5.333333333333333,JC-SVM,0.2
76,LR-GLASS,0.8412698412698412,0.3847907625890677,4.9523809523809526,JC-SVM,0.2
77,LR-GLASS,0.7206349206349206,0.37287997532000866,4.904761904761905,JC-SVM,0.2
78,LR-GLASS,0.8920634920634919,0.39842715396754447,5.0476190476190474,JC-SVM,0.2
79,LR-GLASS,0.8507936507936508,0.3741934539837168,5.285714285714286,JC-SVM,0.2
80,LR-GLASS,0.7696969696969697,0.42297132406801896,5.2727272727272725,JC-SVM,0.2
81,LR-GLASS,0.8363636363636363,0.38139984532196325,5.045454545454546,JC-SVM,0.2
82,LR-GLASS,0.790909090909091,0.3863592926146233,5.363636363636363,JC-SVM,0.2
83,LR-GLASS,0.8454545454545456,0.366156092391268,5.2727272727272725,JC-SVM,0.2
84,LR-GLASS,0.9079365079365079,0.3638726631884232,5.666666666666667,JC-SVM,0.2
85,LR-GLASS,0.8571428571428571,0.36971330242181455,5.428571428571429,JC-SVM,0.2
86,LR-GLASS,0.8,0.3606586737878587,4.9523809523809526,JC-SVM,0.2
87,LR-GLASS,0.8730158730158729,0.3584819033145674,5.523809523809524,JC-SVM,0.2
88,LR-GLASS,0.8095238095238095,0.3807343312850944,4.904761904761905,JC-SVM,0.2
89,LR-GLASS,0.8571428571428571,0.3785645479834777,5.142857142857143,JC-SVM,0.2
90,LR-GLASS,0.7939393939393941,0.43383155024778614,5.045454545454546,JC-SVM,0.2
91,LR-GLASS,0.8303030303030302,0.4058137651860233,5.181818181818182,JC-SVM,0.2
92,LR-GLASS,0.8636363636363636,0.4152729620377207,5.7727272727272725,JC-SVM,0.2
93,LR-GLASS,0.8060606060606061,0.40109181743275085,5.5,JC-SVM,0.2
94,LR-GLASS,0.7968253968253969,0.4076617752447039,4.9523809523809526,JC-SVM,0.2
95,LR-GLASS,0.7809523809523811,0.39807549536254044,5.142857142857143,JC-SVM,0.2
96,LR-GLASS,0.8317460317460317,0.41435716359751384,5.142857142857143,JC-SVM,0.2
97,LR-GLASS,0.8920634920634921,0.3800501151250819,5.285714285714286,JC-SVM,0.2
98,LR-GLASS,0.8158730158730159,0.3829023804753129,5.238095238095238,JC-SVM,0.2
99,LR-GLASS,0.8634920634920634,0.4007864406145116,5.333333333333333,JC-SVM,0.2
100,LR-IRIS,0.8222222222222222,0.23422548323118267,2.6,JC-SVM,0.2
101,LR-IRIS,0.9555555555555555,0.23115750259656823,2.8666666666666667,JC-SVM,0.2
102,LR-IRIS,0.8888888888888888,0.20946224476875963,2.6666666666666665,JC-SVM,0.2
103,LR-IRIS,0.7777777777777778,0.23746691771117542,2.466666666666667,JC-SVM,0.2
104,LR-IRIS,0.8888888888888888,0.23815486978358813,2.6666666666666665,JC-SVM,0.2
105,LR-IRIS,0.9111111111111111,0.23910782507703768,2.8666666666666667,JC-SVM,0.2
106,LR-IRIS,0.9555555555555556,0.21634135989724942,3.0,JC-SVM,0.2
107,LR-IRIS,0.9555555555555555,0.2324726177445009,2.8666666666666667,JC-SVM,0.2
108,LR-IRIS,0.9777777777777777,0.21825426230825629,2.933333333333333,JC-SVM,0.2
109,LR-IRIS,0.9333333333333332,0.23877626977082683,2.8,JC-SVM,0.2
110,LR-IRIS,0.9555555555555555,0.23650938464028964,2.8666666666666667,JC-SVM,0.2
111,LR-IRIS,0.9777777777777777,0.23187426981654755,2.933333333333333,JC-SVM,0.2
112,LR-IRIS,0.8666666666666667,0.20974975565368456,2.8666666666666667,JC-SVM,0.2
113,LR-IRIS,0.8666666666666667,0.2324649866350146,2.8666666666666667,JC-SVM,0.2
114,LR-IRIS,0.9111111111111111,0.2385633710118705,2.8666666666666667,JC-SVM,0.2
115,LR-IRIS,0.9777777777777777,0.23741394016950915,2.933333333333333,JC-SVM,0.2
116,LR-IRIS,0.8888888888888887,0.21780247471987654,2.6666666666666665,JC-SVM,0.2
117,LR-IRIS,0.8888888888888888,0.2102070479765914,2.8,JC-SVM,0.2
118,LR-IRIS,0.8222222222222222,0.23972154885469232,2.533333333333333,JC-SVM,0.2
119,LR-IRIS,0.9555555555555555,0.23720239669943313,2.8666666666666667,JC-SVM,0.2
120,LR-IRIS,0.911111111111111,0.23880936540461184,2.7333333333333334,JC-SVM,0.2
121,LR-IRIS,0.8888888888888888,0.2386718269870393,2.8,JC-SVM,0.2
122,LR-IRIS,0.9333333333333332,0.21796713741600687,2.8,JC-SVM,0.2
123,LR-IRIS,0.911111111111111,0.23887455908207772,2.7333333333333334,JC-SVM,0.2
124,LR-IRIS,0.9777777777777777,0.21893267914640396,2.933333333333333,JC-SVM,0.2
125,LR-IRIS,0.8444444444444443,0.23158351628835266,2.533333333333333,JC-SVM,0.2
126,LR-IRIS,0.9777777777777777,0.21671378819257683,2.933333333333333,JC-SVM,0.2
127,LR-IRIS,0.9555555555555555,0.23156815198449832,2.8666666666666667,JC-SVM,0.2
128,LR-IRIS,0.9777777777777777,0.23206063003885297,2.933333333333333,JC-SVM,0.2
129,LR-IRIS,0.8888888888888888,0.2380106804309807,2.8,JC-SVM,0.2
130,LR-IRIS,0.9333333333333332,0.23866384936547597,2.8,JC-SVM,0.2
131,LR-IRIS,1.0,0.21843359174358565,3.0,JC-SVM,0.2
132,LR-IRIS,0.888888888888889,0.23419402854489976,2.933333333333333,JC-SVM,0.2
133,LR-IRIS,0.9555555555555555,0.21275120919982696,2.8666666666666667,JC-SVM,0.2
134,LR-IRIS,0.9333333333333332,0.2401746073062903,2.8,JC-SVM,0.2
135,LR-IRIS,0.9333333333333332,0.2242836663845625,2.8,JC-SVM,0.2
136,LR-IRIS,0.8888888888888887,0.23834984159274644,2.6666666666666665,JC-SVM,0.2
137,LR-IRIS,0.9333333333333333,0.21512368771128385,2.8,JC-SVM,0.2
138,LR-IRIS,0.888888888888889,0.21905048960033452,2.6666666666666665,JC-SVM,0.2
139,LR-IRIS,0.9111111111111111,0.23871209855849515,2.8666666666666667,JC-SVM,0.2
140,LR-IRIS,0.9333333333333332,0.23128522866314602,2.8,JC-SVM,0.2
141,LR-IRIS,0.9333333333333333,0.23685717213393598,2.933333333333333,JC-SVM,0.2
142,LR-IRIS,0.9555555555555555,0.21145279612085227,2.8666666666666667,JC-SVM,0.2
143,LR-IRIS,0.911111111111111,0.2364386431762608,2.7333333333333334,JC-SVM,0.2
144,LR-IRIS,0.9111111111111111,0.23143939163334398,2.8666666666666667,JC-SVM,0.2
145,LR-IRIS,0.9333333333333332,0.21580716158858282,2.8,JC-SVM,0.2
146,LR-IRIS,0.911111111111111,0.21067060547180175,2.7333333333333334,JC-SVM,0.2
147,LR-IRIS,0.9777777777777777,0.23921653996139464,2.933333333333333,JC-SVM,0.2
148,LR-IRIS,0.9555555555555555,0.2385475319602915,2.8666666666666667,JC-SVM,0.2
149,LR-IRIS,0.9111111111111111,0.23862445176466027,2.8666666666666667,JC-SVM,0.2
150,LR-LIBRAS,0.8806878306878309,1.2410390312165291,10.75,JC-SVM,0.2
151,LR-LIBRAS,0.8849206349206349,1.2242582317553405,10.333333333333334,JC-SVM,0.2
152,LR-LIBRAS,0.8793650793650795,1.2156992740853676,10.444444444444445,JC-SVM,0.2
153,LR-LIBRAS,0.8791005291005293,1.2261585782467497,10.11111111111111,JC-SVM,0.2
154,LR-LIBRAS,0.8677248677248677,1.2246799059280373,10.0,JC-SVM,0.2
155,LR-LIBRAS,0.8854497354497355,1.1903730478290186,10.833333333333334,JC-SVM,0.2
156,LR-LIBRAS,0.8711640211640213,1.2371830810391686,10.055555555555555,JC-SVM,0.2
157,LR-LIBRAS,0.8574074074074075,1.1972736404001483,10.083333333333334,JC-SVM,0.2
158,LR-LIBRAS,0.8753968253968254,1.162758652518579,10.222222222222221,JC-SVM,0.2
159,LR-LIBRAS,0.8912698412698413,1.1560737943627164,10.222222222222221,JC-SVM,0.2
160,LR-LIBRAS,0.8494708994708994,1.2122566139258255,9.777777777777779,JC-SVM,0.2
161,LR-LIBRAS,0.8706349206349207,1.1650551042827295,10.13888888888889,JC-SVM,0.2
162,LR-LIBRAS,0.8685185185185186,1.2202755676491037,9.777777777777779,JC-SVM,0.2
163,LR-LIBRAS,0.8873015873015873,1.1817555288681296,10.916666666666666,JC-SVM,0.2
164,LR-LIBRAS,0.8899470899470899,1.1882041587969863,10.555555555555555,JC-SVM,0.2
165,LR-LIBRAS,0.8814814814814815,1.1732301641178458,10.11111111111111,JC-SVM,0.2
166,LR-LIBRAS,0.8933862433862435,1.2200725703787554,10.916666666666666,JC-SVM,0.2
167,LR-LIBRAS,0.8902116402116403,1.2112651485151837,10.694444444444445,JC-SVM,0.2
168,LR-LIBRAS,0.8732804232804233,1.2106920107996293,10.305555555555555,JC-SVM,0.2
169,LR-LIBRAS,0.8716931216931216,1.2199923425920072,10.083333333333334,JC-SVM,0.2
170,LR-LIBRAS,0.8756613756613757,1.2210430528843286,10.166666666666666,JC-SVM,0.2
171,LR-LIBRAS,0.8695767195767197,1.2166544164151296,10.11111111111111,JC-SVM,0.2
172,LR-LIBRAS,0.8724867724867726,1.2212589872769046,10.0,JC-SVM,0.2
173,LR-LIBRAS,0.8880952380952382,1.236607661710337,10.61111111111111,JC-SVM,0.2
174,LR-LIBRAS,0.8756613756613757,1.1969538725388826,10.86111111111111,JC-SVM,0.2
175,LR-LIBRAS,0.8708994708994708,1.2109841567879218,10.166666666666666,JC-SVM,0.2
176,LR-LIBRAS,0.8587301587301588,1.214771203554965,10.13888888888889,JC-SVM,0.2
177,LR-LIBRAS,0.8804232804232804,1.1869758367386583,10.194444444444445,JC-SVM,0.2
178,LR-LIBRAS,0.8833333333333333,1.1790386003067985,10.38888888888889,JC-SVM,0.2
179,LR-LIBRAS,0.8888888888888888,1.2027390086874228,10.805555555555555,JC-SVM,0.2
180,LR-LIBRAS,0.8661375661375662,1.196249899904365,9.5,JC-SVM,0.2
