,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,PLR-AUTHORSHIP,0.572549019607843,1.2544019933817114,2.1882352941176473,Native-RF-PI,0.5
1,PLR-AUTHORSHIP,0.6269841269841269,1.1280977018857885,2.4166666666666665,Native-RF-PI,0.5
2,PLR-AUTHORSHIP,0.5714285714285714,1.1380776190576665,2.5595238095238093,Native-RF-PI,0.5
3,PLR-AUTHORSHIP,0.6031746031746031,1.1262343357401168,2.488095238095238,Native-RF-PI,0.5
4,PLR-AUTHORSHIP,0.611111111111111,1.1554189685997085,2.5714285714285716,Native-RF-PI,0.5
5,PLR-AUTHORSHIP,0.6388888888888888,1.1483738489708057,2.369047619047619,Native-RF-PI,0.5
6,PLR-AUTHORSHIP,0.6190476190476191,1.1377829612892107,2.392857142857143,Native-RF-PI,0.5
7,PLR-AUTHORSHIP,0.6587301587301587,1.1423634281611037,2.5357142857142856,Native-RF-PI,0.5
8,PLR-AUTHORSHIP,0.6686507936507935,1.146289953720258,2.642857142857143,Native-RF-PI,0.5
9,PLR-AUTHORSHIP,0.6587301587301587,1.1474958644805704,2.511904761904762,Native-RF-PI,0.5
10,PLR-AUTHORSHIP,0.6196078431372548,1.1351753040830281,2.2941176470588234,Native-RF-PI,0.5
11,PLR-AUTHORSHIP,0.6507936507936507,1.232921871003979,2.511904761904762,Native-RF-PI,0.5
12,PLR-AUTHORSHIP,0.6349206349206349,1.1388430462535224,2.4285714285714284,Native-RF-PI,0.5
13,PLR-AUTHORSHIP,0.6547619047619047,1.131229444454138,2.5595238095238093,Native-RF-PI,0.5
14,PLR-AUTHORSHIP,0.6428571428571429,1.144087825300143,2.4761904761904763,Native-RF-PI,0.5
15,PLR-AUTHORSHIP,0.6408730158730158,1.1398917913556499,2.4523809523809526,Native-RF-PI,0.5
16,PLR-AUTHORSHIP,0.6051587301587301,1.1430791140599295,2.4523809523809526,Native-RF-PI,0.5
17,PLR-AUTHORSHIP,0.615079365079365,1.1342033124620963,2.2738095238095237,Native-RF-PI,0.5
18,PLR-AUTHORSHIP,0.6706349206349206,1.149467840785471,2.511904761904762,Native-RF-PI,0.5
19,PLR-AUTHORSHIP,0.6388888888888887,1.13612166073886,2.4285714285714284,Native-RF-PI,0.5
20,PLR-AUTHORSHIP,0.5529411764705883,1.1439307417846443,2.4,Native-RF-PI,0.5
21,PLR-AUTHORSHIP,0.625,1.1458160183904058,2.357142857142857,Native-RF-PI,0.5
