,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,PLR-AUTHORSHIP,0.8039215686274511,4.476802489390516,2.9176470588235293,SingleTarget-RF,0.5
1,PLR-AUTHORSHIP,0.7559523809523808,3.0328868152315547,2.892857142857143,SingleTarget-RF,0.5
2,PLR-AUTHORSHIP,0.8452380952380952,3.0206233697725824,2.9047619047619047,SingleTarget-RF,0.5
3,PLR-AUTHORSHIP,0.8353174603174603,3.0578663790303238,2.9166666666666665,SingleTarget-RF,0.5
4,PLR-AUTHORSHIP,0.8194444444444442,3.0328345887967303,2.9404761904761907,SingleTarget-RF,0.5
5,PLR-AUTHORSHIP,0.8134920634920636,3.039326870873966,2.9047619047619047,SingleTarget-RF,0.5
6,PLR-AUTHORSHIP,0.8115079365079367,3.0227117017675402,2.869047619047619,SingleTarget-RF,0.5
7,PLR-AUTHORSHIP,0.8432539682539684,3.043947714071922,2.9166666666666665,SingleTarget-RF,0.5
8,PLR-AUTHORSHIP,0.8095238095238095,3.051605757468117,2.9047619047619047,SingleTarget-RF,0.5
9,PLR-AUTHORSHIP,0.8095238095238096,3.04512716302631,2.9285714285714284,SingleTarget-RF,0.5
10,PLR-AUTHORSHIP,0.8058823529411766,2.988974681892016,2.8941176470588235,SingleTarget-RF,0.5
11,PLR-AUTHORSHIP,0.8432539682539681,3.0318674975983058,2.9285714285714284,SingleTarget-RF,0.5
12,PLR-AUTHORSHIP,0.7996031746031746,3.0486476702011207,2.9642857142857144,SingleTarget-RF,0.5
13,PLR-AUTHORSHIP,0.8253968253968255,3.0384184542294195,2.9404761904761907,SingleTarget-RF,0.5
14,PLR-AUTHORSHIP,0.8452380952380952,3.0710769277250627,2.9404761904761907,SingleTarget-RF,0.5
15,PLR-AUTHORSHIP,0.8015873015873018,3.0633323699844413,2.892857142857143,SingleTarget-RF,0.5
16,PLR-AUTHORSHIP,0.8273809523809523,2.013994829191179,2.892857142857143,SingleTarget-RF,0.5
17,PLR-AUTHORSHIP,0.7797619047619048,2.097958547492083,2.880952380952381,SingleTarget-RF,0.5
18,PLR-AUTHORSHIP,0.8293650793650794,2.0321925686284366,2.9285714285714284,SingleTarget-RF,0.5
19,PLR-AUTHORSHIP,0.7916666666666669,2.060556322936007,2.9285714285714284,SingleTarget-RF,0.5
20,PLR-AUTHORSHIP,0.8176470588235296,1.959289308136614,2.9529411764705884,SingleTarget-RF,0.5
21,PLR-AUTHORSHIP,0.7976190476190478,2.0748904074688204,2.9404761904761907,SingleTarget-RF,0.5
22,PLR-AUTHORSHIP,0.8551587301587301,2.0604503007829273,2.9166666666666665,SingleTarget-RF,0.5
23,PLR-AUTHORSHIP,0.8194444444444445,2.053566033751646,2.9523809523809526,SingleTarget-RF,0.5
