,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,authorship,0.8803921568627449,1.4035069594366554,3.8705882352941177,ST-GBR-EPSI(0.03),0.4
1,authorship,0.9345238095238095,1.0104076439988825,3.892857142857143,ST-GBR-EPSI(0.03),0.4
2,authorship,0.8869047619047619,0.7166977353879176,3.9404761904761907,ST-GBR-EPSI(0.03),0.4
3,authorship,0.9206349206349207,0.7236940844460559,3.9047619047619047,ST-GBR-EPSI(0.03),0.4
4,authorship,0.9166666666666665,0.7201627382729816,3.857142857142857,ST-GBR-EPSI(0.03),0.4
5,authorship,0.9305555555555556,0.7183445351765169,3.9404761904761907,ST-GBR-EPSI(0.03),0.4
6,authorship,0.9146825396825398,0.7119610146945899,3.7976190476190474,ST-GBR-EPSI(0.03),0.4
7,authorship,0.9226190476190477,0.7110008222025934,3.869047619047619,ST-GBR-EPSI(0.03),0.4
8,authorship,0.9404761904761905,0.7181246138468734,3.880952380952381,ST-GBR-EPSI(0.03),0.4
9,authorship,0.9166666666666669,0.7218549138841669,3.9047619047619047,ST-GBR-EPSI(0.03),0.4
10,authorship,0.9098039215686275,0.7328900303323316,3.8588235294117648,ST-GBR-EPSI(0.03),0.4
11,authorship,0.9503968253968254,0.7111675000446416,3.9642857142857144,ST-GBR-EPSI(0.03),0.4
12,authorship,0.888888888888889,0.7180598835705299,3.880952380952381,ST-GBR-EPSI(0.03),0.4
13,authorship,0.9107142857142857,0.7085357723259168,3.9404761904761907,ST-GBR-EPSI(0.03),0.4
14,authorship,0.9146825396825398,0.7218748197926879,3.869047619047619,ST-GBR-EPSI(0.03),0.4
15,authorship,0.8730158730158729,0.7129367708921612,3.8095238095238093,ST-GBR-EPSI(0.03),0.4
16,authorship,0.9305555555555556,0.7068691252195326,3.8452380952380953,ST-GBR-EPSI(0.03),0.4
17,authorship,0.9166666666666666,0.7048204075160065,3.857142857142857,ST-GBR-EPSI(0.03),0.4
18,authorship,0.9265873015873017,0.7148111249951841,3.869047619047619,ST-GBR-EPSI(0.03),0.4
19,authorship,0.9384920634920636,0.7091543227765341,3.892857142857143,ST-GBR-EPSI(0.03),0.4
20,authorship,0.9411764705882353,0.7152357199347376,3.8823529411764706,ST-GBR-EPSI(0.03),0.4
21,authorship,0.9067460317460319,0.7116946836060266,3.7976190476190474,ST-GBR-EPSI(0.03),0.4
22,authorship,0.9345238095238095,0.7194766124313463,3.892857142857143,ST-GBR-EPSI(0.03),0.4
23,authorship,0.9027777777777777,0.7184933911822132,3.9166666666666665,ST-GBR-EPSI(0.03),0.4
24,authorship,0.9285714285714286,0.711474225208623,3.8333333333333335,ST-GBR-EPSI(0.03),0.4
25,authorship,0.9603174603174602,0.7206697197799128,3.9285714285714284,ST-GBR-EPSI(0.03),0.4
26,authorship,0.9424603174603173,0.7138301237010916,3.892857142857143,ST-GBR-EPSI(0.03),0.4
27,authorship,0.9186507936507937,0.7045484650979646,3.8214285714285716,ST-GBR-EPSI(0.03),0.4
28,authorship,0.9464285714285713,0.7073344126030916,3.869047619047619,ST-GBR-EPSI(0.03),0.4
29,authorship,0.8690476190476188,0.7041122896009568,3.8452380952380953,ST-GBR-EPSI(0.03),0.4
30,authorship,0.9039215686274511,0.7177208887703582,3.8705882352941177,ST-GBR-EPSI(0.03),0.4
31,authorship,0.9464285714285714,0.7119647807302933,3.892857142857143,ST-GBR-EPSI(0.03),0.4
32,authorship,0.9146825396825398,0.7106636484082323,3.869047619047619,ST-GBR-EPSI(0.03),0.4
33,authorship,0.9464285714285714,0.7194926012326806,3.9404761904761907,ST-GBR-EPSI(0.03),0.4
34,authorship,0.882936507936508,0.7051910140945578,3.8214285714285716,ST-GBR-EPSI(0.03),0.4
35,authorship,0.9424603174603176,0.7218815543137285,3.869047619047619,ST-GBR-EPSI(0.03),0.4
36,authorship,0.9345238095238095,0.7103826393312912,3.9404761904761907,ST-GBR-EPSI(0.03),0.4
37,authorship,0.9206349206349207,0.7081012743066905,3.8333333333333335,ST-GBR-EPSI(0.03),0.4
38,authorship,0.8908730158730158,0.7108778208007877,3.8452380952380953,ST-GBR-EPSI(0.03),0.4
39,authorship,0.9246031746031745,0.7124778610792893,3.857142857142857,ST-GBR-EPSI(0.03),0.4
40,authorship,0.9156862745098037,0.7113824214564098,3.8823529411764706,ST-GBR-EPSI(0.03),0.4
41,authorship,0.9365079365079365,0.7124658442558929,3.9285714285714284,ST-GBR-EPSI(0.03),0.4
42,authorship,0.9146825396825394,0.7121449149863162,3.892857142857143,ST-GBR-EPSI(0.03),0.4
43,authorship,0.9246031746031746,0.7128498470714907,3.880952380952381,ST-GBR-EPSI(0.03),0.4
44,authorship,0.9365079365079365,0.7205867014254473,3.880952380952381,ST-GBR-EPSI(0.03),0.4
45,authorship,0.9126984126984128,0.7334451406570126,3.8333333333333335,ST-GBR-EPSI(0.03),0.4
46,authorship,0.9325396825396824,0.7106096053888384,3.9285714285714284,ST-GBR-EPSI(0.03),0.4
47,authorship,0.888888888888889,0.7925657718836983,3.880952380952381,ST-GBR-EPSI(0.03),0.4
48,authorship,0.906746031746032,0.7137407890229044,3.8214285714285716,ST-GBR-EPSI(0.03),0.4
49,authorship,0.9325396825396824,0.7139941297036531,3.8333333333333335,ST-GBR-EPSI(0.03),0.4
50,glass,0.9545454545454546,0.37058824692669295,5.590909090909091,ST-GBR-EPSI(0.03),0.4
51,glass,0.8909090909090911,0.38950534812860294,5.7272727272727275,ST-GBR-EPSI(0.03),0.4
52,glass,0.8848484848484849,0.38318980608939796,5.545454545454546,ST-GBR-EPSI(0.03),0.4
53,glass,0.9212121212121214,0.3450876349601961,5.545454545454546,ST-GBR-EPSI(0.03),0.4
54,glass,0.8920634920634919,0.3608252763711297,5.714285714285714,ST-GBR-EPSI(0.03),0.4
55,glass,0.8857142857142858,0.3474771220322806,5.714285714285714,ST-GBR-EPSI(0.03),0.4
56,glass,0.8158730158730159,0.3925519431573976,5.714285714285714,ST-GBR-EPSI(0.03),0.4
57,glass,0.9523809523809526,0.4017785811074886,5.857142857142857,ST-GBR-EPSI(0.03),0.4
58,glass,0.9111111111111112,0.4121975894724173,5.571428571428571,ST-GBR-EPSI(0.03),0.4
59,glass,0.7936507936507935,0.4032392743696551,5.428571428571429,ST-GBR-EPSI(0.03),0.4
60,glass,0.8151515151515152,0.40893312140357546,5.590909090909091,ST-GBR-EPSI(0.03),0.4
61,glass,0.8787878787878788,0.34393180569366755,5.590909090909091,ST-GBR-EPSI(0.03),0.4
62,glass,0.9121212121212121,0.403630345314022,5.681818181818182,ST-GBR-EPSI(0.03),0.4
63,glass,0.8969696969696972,0.41275372234014207,5.7272727272727275,ST-GBR-EPSI(0.03),0.4
64,glass,0.926984126984127,0.37842790898219136,5.761904761904762,ST-GBR-EPSI(0.03),0.4
65,glass,0.8793650793650792,0.344363039825018,5.714285714285714,ST-GBR-EPSI(0.03),0.4
66,glass,0.8126984126984128,0.39821549850467963,5.285714285714286,ST-GBR-EPSI(0.03),0.4
67,glass,0.8666666666666666,0.34456816484166664,5.809523809523809,ST-GBR-EPSI(0.03),0.4
68,glass,0.8571428571428571,0.3572804244050339,5.666666666666667,ST-GBR-EPSI(0.03),0.4
69,glass,0.838095238095238,0.36310779111779296,5.476190476190476,ST-GBR-EPSI(0.03),0.4
