,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,percentage
0,LR-AUTHORSHIP,0.8666666666666667,1.4125456739448,4.0,Chain-RFR-PI,0.0,
1,LR-AUTHORSHIP,0.9246031746031744,1.3825860706928117,4.0,Chain-RFR-PI,0.0,
2,LR-AUTHORSHIP,0.9047619047619048,1.3859906453550377,4.0,Chain-RFR-PI,0.0,
3,LR-AUTHORSHIP,0.9325396825396828,1.382504250951326,4.0,Chain-RFR-PI,0.0,
4,LR-AUTHORSHIP,0.9047619047619048,1.3940019924702045,4.0,Chain-RFR-PI,0.0,
5,LR-AUTHORSHIP,0.9365079365079364,1.3826575450871483,4.0,Chain-RFR-PI,0.0,
6,LR-AUTHORSHIP,0.9166666666666666,1.3792853417686806,4.0,Chain-RFR-PI,0.0,
7,LR-AUTHORSHIP,0.9206349206349206,1.3934733818865257,4.0,Chain-RFR-PI,0.0,
8,LR-AUTHORSHIP,0.9325396825396828,1.383263595615142,4.0,Chain-RFR-PI,0.0,
9,LR-AUTHORSHIP,0.9246031746031746,1.3854022823965233,4.0,Chain-RFR-PI,0.0,
10,LR-AUTHORSHIP,0.9333333333333336,1.3766762734985265,4.0,Chain-RFR-PI,0.0,
11,LR-AUTHORSHIP,0.9365079365079364,1.3851557916391972,4.0,Chain-RFR-PI,0.0,
12,LR-AUTHORSHIP,0.896825396825397,1.3778634891856842,4.0,Chain-RFR-PI,0.0,
13,LR-AUTHORSHIP,0.9206349206349208,1.386634234754283,4.0,Chain-RFR-PI,0.0,
14,LR-AUTHORSHIP,0.9285714285714288,1.386676861069882,4.0,Chain-RFR-PI,0.0,
15,LR-AUTHORSHIP,0.884920634920635,1.381780672568926,4.0,Chain-RFR-PI,0.0,
16,LR-AUTHORSHIP,0.9246031746031744,1.38654634250175,4.0,Chain-RFR-PI,0.0,
17,LR-AUTHORSHIP,0.9126984126984126,1.3883131523101435,4.0,Chain-RFR-PI,0.0,
18,LR-AUTHORSHIP,0.9444444444444444,1.3801878864738877,4.0,Chain-RFR-PI,0.0,
19,LR-AUTHORSHIP,0.9444444444444444,1.3892422563832811,4.0,Chain-RFR-PI,0.0,
20,LR-AUTHORSHIP,0.9450980392156864,1.3818820803287868,4.0,Chain-RFR-PI,0.0,
21,LR-AUTHORSHIP,0.898809523809524,1.3887714635808597,3.988095238095238,Chain-RFR-PI,0.0,
22,LR-AUTHORSHIP,0.9246031746031746,1.385468034293161,4.0,Chain-RFR-PI,0.0,
23,LR-AUTHORSHIP,0.9047619047619048,1.3833114215954627,4.0,Chain-RFR-PI,0.0,
24,LR-AUTHORSHIP,0.896825396825397,1.3797328523950578,4.0,Chain-RFR-PI,0.0,
25,LR-AUTHORSHIP,0.9523809523809526,1.381878937517257,4.0,Chain-RFR-PI,0.0,
26,LR-AUTHORSHIP,0.9384920634920636,1.3799075472356837,3.988095238095238,Chain-RFR-PI,0.0,
27,LR-AUTHORSHIP,0.9047619047619048,1.3870225787602126,4.0,Chain-RFR-PI,0.0,
28,LR-AUTHORSHIP,0.9365079365079364,1.3878432191854149,4.0,Chain-RFR-PI,0.0,
29,LR-AUTHORSHIP,0.8690476190476191,1.416284725664338,4.0,Chain-RFR-PI,0.0,
30,LR-AUTHORSHIP,0.8980392156862746,1.3808594668096974,4.0,Chain-RFR-PI,0.0,
31,LR-AUTHORSHIP,0.9365079365079364,1.3846087989053666,4.0,Chain-RFR-PI,0.0,
32,LR-AUTHORSHIP,0.9047619047619048,1.3884200430801743,4.0,Chain-RFR-PI,0.0,
33,LR-AUTHORSHIP,0.9166666666666666,1.3825203112391002,4.0,Chain-RFR-PI,0.0,
34,LR-AUTHORSHIP,0.9206349206349206,1.3806941982053127,4.0,Chain-RFR-PI,0.0,
35,LR-AUTHORSHIP,0.9365079365079364,1.3877701923696313,4.0,Chain-RFR-PI,0.0,
36,LR-AUTHORSHIP,0.9246031746031746,1.3977326632780205,4.0,Chain-RFR-PI,0.0,
37,LR-AUTHORSHIP,0.9126984126984126,1.3828652399284649,4.0,Chain-RFR-PI,0.0,
38,LR-AUTHORSHIP,0.8908730158730158,1.3853611749101515,3.988095238095238,Chain-RFR-PI,0.0,
