,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,LR-AUTHORSHIP,0.8490196078431371,1.285042487416845,3.988235294117647,Chain-RFR-PI,0.1
1,LR-AUTHORSHIP,0.9246031746031746,1.2627937399493308,4.0,Chain-RFR-PI,0.1
2,LR-AUTHORSHIP,0.8730158730158731,1.2573187811280229,4.0,Chain-RFR-PI,0.1
3,LR-AUTHORSHIP,0.9007936507936508,1.265997919284275,4.0,Chain-RFR-PI,0.1
4,LR-AUTHORSHIP,0.8928571428571429,1.283036150730415,4.0,Chain-RFR-PI,0.1
5,LR-AUTHORSHIP,0.8968253968253971,1.2688787984538443,3.976190476190476,Chain-RFR-PI,0.1
6,LR-AUTHORSHIP,0.882936507936508,1.260634804074278,3.988095238095238,Chain-RFR-PI,0.1
7,LR-AUTHORSHIP,0.882936507936508,1.2586631726749091,3.988095238095238,Chain-RFR-PI,0.1
8,LR-AUTHORSHIP,0.9047619047619048,1.2647217887609,4.0,Chain-RFR-PI,0.1
9,LR-AUTHORSHIP,0.8769841269841269,1.264480998026947,4.0,Chain-RFR-PI,0.1
10,LR-AUTHORSHIP,0.8941176470588236,1.2598050857987582,4.0,Chain-RFR-PI,0.1
11,LR-AUTHORSHIP,0.9146825396825397,1.2720597294092355,3.988095238095238,Chain-RFR-PI,0.1
12,LR-AUTHORSHIP,0.8928571428571429,1.2757775893862568,4.0,Chain-RFR-PI,0.1
13,LR-AUTHORSHIP,0.8809523809523812,1.2627623046840697,3.976190476190476,Chain-RFR-PI,0.1
14,LR-AUTHORSHIP,0.871031746031746,1.265386758415578,3.988095238095238,Chain-RFR-PI,0.1
15,LR-AUTHORSHIP,0.8412698412698413,1.274848625661431,3.976190476190476,Chain-RFR-PI,0.1
16,LR-AUTHORSHIP,0.8809523809523812,1.2766531774913292,4.0,Chain-RFR-PI,0.1
17,LR-AUTHORSHIP,0.875,1.2833093631144794,3.988095238095238,Chain-RFR-PI,0.1
18,LR-AUTHORSHIP,0.8809523809523812,1.2571196395211257,4.0,Chain-RFR-PI,0.1
19,LR-AUTHORSHIP,0.9007936507936508,1.2736986403000774,3.976190476190476,Chain-RFR-PI,0.1
20,LR-AUTHORSHIP,0.9058823529411764,1.279330315771631,4.0,Chain-RFR-PI,0.1
21,LR-AUTHORSHIP,0.8591269841269842,1.2806258367663248,3.988095238095238,Chain-RFR-PI,0.1
22,LR-AUTHORSHIP,0.8869047619047619,1.2728486549972895,3.988095238095238,Chain-RFR-PI,0.1
23,LR-AUTHORSHIP,0.8333333333333334,1.274298709457384,4.0,Chain-RFR-PI,0.1
24,LR-AUTHORSHIP,0.8948412698412698,1.2679248983506095,3.988095238095238,Chain-RFR-PI,0.1
25,LR-AUTHORSHIP,0.9246031746031746,1.2810251544584683,4.0,Chain-RFR-PI,0.1
