,data,tau_x_score,prediction_time,buckets_per_rank,algo,percentage
0,LR-AUTHORSHIP,0.7784313725490195,1.2653519496305354,3.1294117647058823,Chain-RFR-PI,0.1
1,LR-AUTHORSHIP,0.8551587301587302,1.2418422144112362,3.4285714285714284,Chain-RFR-PI,0.1
2,LR-AUTHORSHIP,0.7976190476190477,1.2440964467874922,3.2261904761904763,Chain-RFR-PI,0.1
3,LR-AUTHORSHIP,0.8452380952380951,1.228191103169385,3.4047619047619047,Chain-RFR-PI,0.1
4,LR-AUTHORSHIP,0.8432539682539681,1.2478533685838016,3.357142857142857,Chain-RFR-PI,0.1
5,LR-AUTHORSHIP,0.8511904761904762,1.238391943475573,3.4166666666666665,Chain-RFR-PI,0.1
6,LR-AUTHORSHIP,0.8154761904761904,1.2296425316160815,3.2261904761904763,Chain-RFR-PI,0.1
7,LR-AUTHORSHIP,0.8293650793650793,1.232883130523285,3.2738095238095237,Chain-RFR-PI,0.1
8,LR-AUTHORSHIP,0.861111111111111,1.2249815541090172,3.5,Chain-RFR-PI,0.1
9,LR-AUTHORSHIP,0.8115079365079364,1.235220255300271,3.3452380952380953,Chain-RFR-PI,0.1
10,LR-AUTHORSHIP,0.8509803921568627,1.2184191378483928,3.364705882352941,Chain-RFR-PI,0.1
11,LR-AUTHORSHIP,0.875,1.2312873025026392,3.4642857142857144,Chain-RFR-PI,0.1
12,LR-AUTHORSHIP,0.8055555555555556,1.2391690492216951,3.1785714285714284,Chain-RFR-PI,0.1
13,LR-AUTHORSHIP,0.8134920634920635,1.230941957731763,3.3214285714285716,Chain-RFR-PI,0.1
14,LR-AUTHORSHIP,0.7996031746031746,1.234468753791328,3.261904761904762,Chain-RFR-PI,0.1
15,LR-AUTHORSHIP,0.8174603174603172,1.2369374307484782,3.3214285714285716,Chain-RFR-PI,0.1
16,LR-AUTHORSHIP,0.8313492063492062,1.2296072093315111,3.3095238095238093,Chain-RFR-PI,0.1
17,LR-AUTHORSHIP,0.8134920634920635,1.2352263760369544,3.261904761904762,Chain-RFR-PI,0.1
18,LR-AUTHORSHIP,0.8412698412698412,1.2168242817298105,3.3214285714285716,Chain-RFR-PI,0.1
19,LR-AUTHORSHIP,0.8234126984126983,1.2200322268311046,3.4047619047619047,Chain-RFR-PI,0.1
20,LR-AUTHORSHIP,0.8686274509803921,1.2339583445185711,3.4941176470588236,Chain-RFR-PI,0.1
21,LR-AUTHORSHIP,0.8095238095238093,1.232322079748626,3.3095238095238093,Chain-RFR-PI,0.1
22,LR-AUTHORSHIP,0.8353174603174602,1.234042075233987,3.3333333333333335,Chain-RFR-PI,0.1
23,LR-AUTHORSHIP,0.7876984126984128,1.2372701221566675,3.3214285714285716,Chain-RFR-PI,0.1
24,LR-AUTHORSHIP,0.8075396825396824,1.2310311561065197,3.2857142857142856,Chain-RFR-PI,0.1
25,LR-AUTHORSHIP,0.861111111111111,1.247716744359079,3.357142857142857,Chain-RFR-PI,0.1
26,LR-AUTHORSHIP,0.851190476190476,1.2335852204439235,3.357142857142857,Chain-RFR-PI,0.1
27,LR-AUTHORSHIP,0.8313492063492063,1.227558951417799,3.357142857142857,Chain-RFR-PI,0.1
28,LR-AUTHORSHIP,0.8293650793650793,1.2474956772797214,3.2738095238095237,Chain-RFR-PI,0.1
29,LR-AUTHORSHIP,0.7916666666666666,1.2480755408670876,3.3214285714285716,Chain-RFR-PI,0.1
30,LR-AUTHORSHIP,0.8529411764705881,1.2291585289219698,3.458823529411765,Chain-RFR-PI,0.1
31,LR-AUTHORSHIP,0.8670634920634919,1.2246389697269449,3.4285714285714284,Chain-RFR-PI,0.1
32,LR-AUTHORSHIP,0.8194444444444442,1.223032714392609,3.3214285714285716,Chain-RFR-PI,0.1
33,LR-AUTHORSHIP,0.8511904761904762,1.2264202598841276,3.357142857142857,Chain-RFR-PI,0.1
34,LR-AUTHORSHIP,0.8313492063492063,1.2234316871402664,3.2261904761904763,Chain-RFR-PI,0.1
35,LR-AUTHORSHIP,0.7956349206349206,1.2291940648822564,3.1904761904761907,Chain-RFR-PI,0.1
36,LR-AUTHORSHIP,0.8492063492063492,1.2191557926968848,3.3214285714285716,Chain-RFR-PI,0.1
37,LR-AUTHORSHIP,0.8650793650793651,1.2299806489599807,3.4761904761904763,Chain-RFR-PI,0.1
38,LR-AUTHORSHIP,0.757936507936508,1.2350959181603316,3.1785714285714284,Chain-RFR-PI,0.1
39,LR-AUTHORSHIP,0.851190476190476,1.2174025554332129,3.3333333333333335,Chain-RFR-PI,0.1
40,LR-AUTHORSHIP,0.8176470588235294,1.232713893716853,3.235294117647059,Chain-RFR-PI,0.1
41,LR-AUTHORSHIP,0.8194444444444442,1.240523592199926,3.261904761904762,Chain-RFR-PI,0.1
42,LR-AUTHORSHIP,0.8293650793650791,1.2262055567101124,3.380952380952381,Chain-RFR-PI,0.1
43,LR-AUTHORSHIP,0.8234126984126983,1.2260862879309102,3.392857142857143,Chain-RFR-PI,0.1
44,LR-AUTHORSHIP,0.8194444444444445,1.231668625987271,3.2738095238095237,Chain-RFR-PI,0.1
45,LR-AUTHORSHIP,0.8472222222222221,1.2311390345391051,3.3333333333333335,Chain-RFR-PI,0.1
46,LR-AUTHORSHIP,0.851190476190476,1.245833945320717,3.4047619047619047,Chain-RFR-PI,0.1
47,LR-AUTHORSHIP,0.7876984126984128,1.2327746749316175,3.1547619047619047,Chain-RFR-PI,0.1
48,LR-AUTHORSHIP,0.8115079365079364,1.2239920263184565,3.261904761904762,Chain-RFR-PI,0.1
49,LR-AUTHORSHIP,0.8293650793650793,1.2267619763494824,3.392857142857143,Chain-RFR-PI,0.1
50,LR-GLASS,0.7999999999999999,1.1020104583002308,4.0,Chain-RFR-PI,0.1
51,LR-GLASS,0.7696969696969699,1.0985600265127948,4.5,Chain-RFR-PI,0.1
52,LR-GLASS,0.7939393939393941,1.089662928261808,4.545454545454546,Chain-RFR-PI,0.1
53,LR-GLASS,0.7484848484848484,1.098415858569691,4.136363636363637,Chain-RFR-PI,0.1
54,LR-GLASS,0.7111111111111112,1.1015292291148415,4.0,Chain-RFR-PI,0.1
55,LR-GLASS,0.8317460317460318,1.1247578201293416,4.809523809523809,Chain-RFR-PI,0.1
56,LR-GLASS,0.6571428571428571,1.0956817538171284,3.6666666666666665,Chain-RFR-PI,0.1
57,LR-GLASS,0.7111111111111111,1.0910013905753124,3.952380952380953,Chain-RFR-PI,0.1
58,LR-GLASS,0.6984126984126984,1.094423766886426,3.952380952380953,Chain-RFR-PI,0.1
59,LR-GLASS,0.5873015873015873,1.0971212967103527,3.857142857142857,Chain-RFR-PI,0.1
60,LR-GLASS,0.6666666666666665,1.094541338343828,3.772727272727273,Chain-RFR-PI,0.1
61,LR-GLASS,0.7999999999999999,1.1032669622738422,4.7272727272727275,Chain-RFR-PI,0.1
62,LR-GLASS,0.7393939393939394,1.0811656664059437,4.2727272727272725,Chain-RFR-PI,0.1
63,LR-GLASS,0.8090909090909091,1.0935170666409262,4.454545454545454,Chain-RFR-PI,0.1
64,LR-GLASS,0.7206349206349206,1.0875353369986938,3.9047619047619047,Chain-RFR-PI,0.1
65,LR-GLASS,0.6761904761904763,1.090516386150418,4.095238095238095,Chain-RFR-PI,0.1
66,LR-GLASS,0.6698412698412699,1.0942178704717038,4.095238095238095,Chain-RFR-PI,0.1
67,LR-GLASS,0.6603174603174604,1.0875073567640363,4.0,Chain-RFR-PI,0.1
68,LR-GLASS,0.6920634920634922,1.1014871284049472,4.142857142857143,Chain-RFR-PI,0.1
69,LR-GLASS,0.7396825396825397,1.1059647498798284,4.190476190476191,Chain-RFR-PI,0.1
70,LR-GLASS,0.7636363636363636,1.099465776658153,4.590909090909091,Chain-RFR-PI,0.1
71,LR-GLASS,0.787878787878788,1.10100613656351,4.636363636363637,Chain-RFR-PI,0.1
72,LR-GLASS,0.7363636363636363,1.1008895989911127,3.909090909090909,Chain-RFR-PI,0.1
73,LR-GLASS,0.8363636363636366,1.0995220070003613,4.590909090909091,Chain-RFR-PI,0.1
74,LR-GLASS,0.6825396825396827,1.091447836678207,4.142857142857143,Chain-RFR-PI,0.1
75,LR-GLASS,0.7142857142857143,1.094520273773028,4.190476190476191,Chain-RFR-PI,0.1
76,LR-GLASS,0.7555555555555554,1.1124288700635838,3.952380952380953,Chain-RFR-PI,0.1
77,LR-GLASS,0.6285714285714286,1.089056870912538,4.0476190476190474,Chain-RFR-PI,0.1
78,LR-GLASS,0.7968253968253969,1.1053622888719403,4.571428571428571,Chain-RFR-PI,0.1
79,LR-GLASS,0.7301587301587301,1.0949602881439149,3.952380952380953,Chain-RFR-PI,0.1
80,LR-GLASS,0.7666666666666667,1.098291024342176,4.454545454545454,Chain-RFR-PI,0.1
81,LR-GLASS,0.7393939393939395,1.088924708365267,4.181818181818182,Chain-RFR-PI,0.1
82,LR-GLASS,0.7666666666666665,1.0976504498800257,4.409090909090909,Chain-RFR-PI,0.1
83,LR-GLASS,0.7575757575757575,1.093841867335371,4.181818181818182,Chain-RFR-PI,0.1
84,LR-GLASS,0.7079365079365081,1.0925302482046748,4.333333333333333,Chain-RFR-PI,0.1
85,LR-GLASS,0.6920634920634923,1.0975454832845637,4.285714285714286,Chain-RFR-PI,0.1
86,LR-GLASS,0.5714285714285714,1.094190490952316,3.4761904761904763,Chain-RFR-PI,0.1
87,LR-GLASS,0.7365079365079364,1.086355357941548,4.190476190476191,Chain-RFR-PI,0.1
88,LR-GLASS,0.6952380952380952,1.1053134443488275,4.0,Chain-RFR-PI,0.1
89,LR-GLASS,0.6666666666666666,1.1022377134497816,4.285714285714286,Chain-RFR-PI,0.1
90,LR-GLASS,0.7060606060606062,1.100224958691144,4.318181818181818,Chain-RFR-PI,0.1
91,LR-GLASS,0.7303030303030303,1.101133800002602,4.136363636363637,Chain-RFR-PI,0.1
92,LR-GLASS,0.7878787878787878,1.0912876826934823,4.7727272727272725,Chain-RFR-PI,0.1
93,LR-GLASS,0.8060606060606059,1.1008478130672543,4.409090909090909,Chain-RFR-PI,0.1
94,LR-GLASS,0.7523809523809524,1.1100558966782346,4.333333333333333,Chain-RFR-PI,0.1
95,LR-GLASS,0.6761904761904761,1.094401677165697,4.190476190476191,Chain-RFR-PI,0.1
96,LR-GLASS,0.7174603174603176,1.0883262171427153,4.238095238095238,Chain-RFR-PI,0.1
