,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor
0,PLR-AUTHORSHIP,0.8039215686274509,1.4783622276017183,3.4941176470588236,Chain-RFR-PI,2.0
1,PLR-AUTHORSHIP,0.7777777777777777,1.4352688995450824,3.5714285714285716,Chain-RFR-PI,2.0
2,PLR-AUTHORSHIP,0.8075396825396823,1.4550084903537746,3.6666666666666665,Chain-RFR-PI,2.0
3,PLR-AUTHORSHIP,0.8214285714285714,1.4794368377857654,3.630952380952381,Chain-RFR-PI,2.0
4,PLR-AUTHORSHIP,0.7996031746031746,1.4459791526854913,3.4761904761904763,Chain-RFR-PI,2.0
5,PLR-AUTHORSHIP,0.8035714285714286,1.4394967606781637,3.5238095238095237,Chain-RFR-PI,2.0
6,PLR-AUTHORSHIP,0.8452380952380955,1.4437672946150342,3.5238095238095237,Chain-RFR-PI,2.0
7,PLR-AUTHORSHIP,0.8293650793650793,1.4496330504647263,3.738095238095238,Chain-RFR-PI,2.0
8,PLR-AUTHORSHIP,0.7718253968253967,1.4318368492946694,3.678571428571429,Chain-RFR-PI,2.0
9,PLR-AUTHORSHIP,0.8134920634920635,1.438822960269886,3.4285714285714284,Chain-RFR-PI,2.0
10,PLR-AUTHORSHIP,0.8137254901960783,1.4488731386835452,3.635294117647059,Chain-RFR-PI,2.0
11,PLR-AUTHORSHIP,0.8075396825396824,1.4518982567655718,3.5833333333333335,Chain-RFR-PI,2.0
12,PLR-AUTHORSHIP,0.7976190476190474,1.4435454208300953,3.630952380952381,Chain-RFR-PI,2.0
13,PLR-AUTHORSHIP,0.8134920634920638,1.441047710175012,3.488095238095238,Chain-RFR-PI,2.0
14,PLR-AUTHORSHIP,0.8115079365079365,1.449768785358085,3.607142857142857,Chain-RFR-PI,2.0
15,PLR-AUTHORSHIP,0.8075396825396827,1.44753120933542,3.452380952380953,Chain-RFR-PI,2.0
16,PLR-AUTHORSHIP,0.7936507936507935,1.4416195288631002,3.547619047619047,Chain-RFR-PI,2.0
17,PLR-AUTHORSHIP,0.8234126984126985,1.441522920386053,3.5952380952380953,Chain-RFR-PI,2.0
18,PLR-AUTHORSHIP,0.8174603174603173,1.4495918280677262,3.607142857142857,Chain-RFR-PI,2.0
19,PLR-AUTHORSHIP,0.7896825396825398,1.446324025589518,3.5238095238095237,Chain-RFR-PI,2.0
20,PLR-AUTHORSHIP,0.7862745098039216,1.439993363179447,3.6705882352941175,Chain-RFR-PI,2.0
21,PLR-AUTHORSHIP,0.8055555555555556,1.4319544109360554,3.392857142857143,Chain-RFR-PI,2.0
22,PLR-AUTHORSHIP,0.8015873015873015,1.4421479653627731,3.5833333333333335,Chain-RFR-PI,2.0
23,PLR-AUTHORSHIP,0.7857142857142856,1.4485643920797413,3.607142857142857,Chain-RFR-PI,2.0
24,PLR-AUTHORSHIP,0.8095238095238095,1.45549170694911,3.6547619047619047,Chain-RFR-PI,2.0
25,PLR-AUTHORSHIP,0.8134920634920636,1.440522864796231,3.5,Chain-RFR-PI,2.0
26,PLR-AUTHORSHIP,0.7857142857142857,1.442589149064602,3.5357142857142856,Chain-RFR-PI,2.0
27,PLR-AUTHORSHIP,0.8095238095238095,1.4410607728333469,3.511904761904762,Chain-RFR-PI,2.0
28,PLR-AUTHORSHIP,0.8214285714285714,1.432800362577325,3.6547619047619047,Chain-RFR-PI,2.0
29,PLR-AUTHORSHIP,0.7876984126984129,1.4363202612926649,3.5833333333333335,Chain-RFR-PI,2.0
30,PLR-AUTHORSHIP,0.7745098039215685,1.4611875020005605,3.5058823529411764,Chain-RFR-PI,2.0
31,PLR-AUTHORSHIP,0.7976190476190477,1.4311326493379577,3.5714285714285716,Chain-RFR-PI,2.0
32,PLR-AUTHORSHIP,0.8055555555555555,1.4498190104289028,3.5595238095238093,Chain-RFR-PI,2.0
33,PLR-AUTHORSHIP,0.8075396825396824,1.447901628564279,3.6547619047619047,Chain-RFR-PI,2.0
34,PLR-AUTHORSHIP,0.8194444444444444,1.4483168372285538,3.511904761904762,Chain-RFR-PI,2.0
35,PLR-AUTHORSHIP,0.7936507936507938,1.445775961897398,3.5,Chain-RFR-PI,2.0
36,PLR-AUTHORSHIP,0.8174603174603173,1.4426665917660608,3.5952380952380953,Chain-RFR-PI,2.0
37,PLR-AUTHORSHIP,0.8313492063492063,1.4457318465053104,3.702380952380953,Chain-RFR-PI,2.0
38,PLR-AUTHORSHIP,0.7797619047619048,1.4364275237552655,3.5357142857142856,Chain-RFR-PI,2.0
39,PLR-AUTHORSHIP,0.8055555555555556,1.4330839773028108,3.5595238095238093,Chain-RFR-PI,2.0
40,PLR-AUTHORSHIP,0.7784313725490196,1.4453484026358772,3.6,Chain-RFR-PI,2.0
41,PLR-AUTHORSHIP,0.7757936507936508,1.4413889447339203,3.5,Chain-RFR-PI,2.0
42,PLR-AUTHORSHIP,0.7976190476190478,1.4297469101202451,3.5238095238095237,Chain-RFR-PI,2.0
43,PLR-AUTHORSHIP,0.8174603174603176,1.446715243232314,3.630952380952381,Chain-RFR-PI,2.0
44,PLR-AUTHORSHIP,0.8055555555555556,1.448361097240737,3.4642857142857144,Chain-RFR-PI,2.0
45,PLR-AUTHORSHIP,0.7996031746031749,1.4350132006359688,3.642857142857143,Chain-RFR-PI,2.0
46,PLR-AUTHORSHIP,0.7996031746031746,1.4379749194621485,3.547619047619047,Chain-RFR-PI,2.0
47,PLR-AUTHORSHIP,0.7857142857142859,1.4559714993775186,3.452380952380953,Chain-RFR-PI,2.0
48,PLR-AUTHORSHIP,0.8273809523809522,1.4536286816111144,3.5238095238095237,Chain-RFR-PI,2.0
49,PLR-AUTHORSHIP,0.8134920634920635,1.4407785266996955,3.642857142857143,Chain-RFR-PI,2.0
50,PLR-BLOCKS,0.8777372262773723,1.2884672921734497,2.7244525547445257,Chain-RFR-PI,2.0
51,PLR-BLOCKS,0.8925182481751825,1.2846037883340442,2.6295620437956204,Chain-RFR-PI,2.0
